id,title,year,release_month,genres,duration,country,language,directors,writers,actors,production_company,imdb_score,votes,budget,world_wide_boxoffice,metascore,profit,profit_margin
6864,Intolerance: Love's Struggle Throughout the Ages,1916,2,"['Drama', 'History']",163,Usa,English,['D.W. Griffith'],"['D.W. Griffith', 'Anita Loos']","['Lillian Gish', 'Mae Marsh', 'Robert Harron', 'F.A. Turner', 'Sam De Grasse']",Triangle Film Corporation,7.8,13875,385907,,99,,
17136,Metropolis,1927,10,"['Drama', 'Sci-Fi']",153,Germany,German,['Fritz Lang'],"['Thea Von Harbou', 'Thea Von Harbou']","['Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge', 'Fritz Rasp', 'Theodor Loos']",Universum Film (Ufa),8.3,156076,,1349711,98,,
18037,The Jazz Singer,1927,2,"['Drama', 'Music', 'Musical']",88,Usa,English,['Alan Crosland'],"['Samson Raphaelson', 'Alfred A. Cohn']","['Al Jolson', 'May Mcavoy', 'Warner Oland', 'Eugenie Besserer', 'Otto Lederer']",Warner Bros.,6.5,8866,422000,,66,,
18773,The Circus,1928,10,"['Comedy', 'Romance']",72,Usa,English,['Charles Chaplin'],['Charles Chaplin'],"['Al Ernest Garcia', 'Merna Kennedy', 'Harry Crocker', 'George Davis', 'Henry Bergman']",Charles Chaplin Productions,8.1,27414,900000,26916,90,-873084,-0.97
19777,The Cocoanuts,1929,8,"['Comedy', 'Musical']",96,Usa,English,"['Robert Florey', 'Joseph Santley']","['George S. Kaufman', 'Morrie Ryskind']","['The Marx Brothers', 'Zeppo Marx', 'Groucho Marx', 'Harpo Marx', 'Chico Marx']",Paramount Pictures,7.0,6900,500000,,69,,
20269,Piccadilly,1929,2,"['Drama', 'Crime']",92,Uk,English,['Ewald André Dupont'],['Arnold Bennett'],"['Gilda Gray', 'Anna May Wong', 'Jameson Thomas', 'Cyril Ritchard', 'King Hou Chang']",British International Pictures (Bip),7.1,1353,,,89,,
20629,All Quiet on the Western Front,1930,3,"['Drama', 'War']",152,Usa,English,['Lewis Milestone'],"['Erich Maria Remarque', 'Maxwell Anderson']","['Louis Wolheim', 'Lew Ayres', 'John Wray', 'Arnold Lucy', 'Ben Alexander']",Universal Pictures,8.0,56356,1200000,,91,,
20640,Animal Crackers,1930,9,"['Comedy', 'Musical']",97,Usa,English,['Victor Heerman'],"['George S. Kaufman', 'Morrie Ryskind']","['The Marx Brothers', 'Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",Paramount Pictures,7.5,13341,,,77,,
20697,Der blaue Engel,1930,2,"['Drama', 'Music']",104,Germany,German,['Josef Von Sternberg'],"['Heinrich Mann', 'Carl Zuckmayer']","['Emil Jannings', 'Marlene Dietrich', 'Kurt Gerron', 'Rosa Valetti', 'Hans Albers']",Universum Film (Ufa),7.7,13311,,4410,88,,
21746,Cimarron,1931,2,"['Drama', 'Western']",123,Usa,English,['Wesley Ruggles'],"['Edna Ferber', 'Howard Estabrook']","['Richard Dix', 'Irene Dunne', 'Estelle Taylor', ""Nance O'Neil"", 'William Collier Jr.']",Rko Radio Pictures,5.9,5304,1433000,,70,,
21749,City Lights,1931,4,"['Comedy', 'Drama', 'Romance']",87,Usa,English,['Charles Chaplin'],['Charles Chaplin'],"['Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann']",Charles Chaplin Productions,8.5,162668,1500000,46008,99,-1453992,-0.97
21884,Frankenstein,1931,12,"['Drama', 'Horror', 'Romance']",70,Usa,English,['James Whale'],"['John L. Balderston', 'Mary Shelley']","['Colin Clive', 'Mae Clarke', 'John Boles', 'Boris Karloff', 'Edward Van Sloan']",Universal Pictures,7.8,63315,291000,1626,91,-289374,-0.99
21890,The Front Page,1931,4,"['Comedy', 'Crime', 'Drama']",101,Usa,English,['Lewis Milestone'],"['Ben Hecht', 'Charles Macarthur']","['Adolphe Menjou', ""Pat O'Brien"", 'Mary Brian', 'Edward Everett Horton', 'Walter Catlett']",The Caddo Company,6.7,2348,,,76,,
22913,Freaks,1932,2,"['Drama', 'Horror']",64,Usa,English,['Tod Browning'],"[""Clarence Aaron 'Tod' Robbins"", 'Willis Goldbeck']","['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates', 'Henry Victor']",Metro-Goldwyn-Mayer (Mgm),7.9,41173,310607,4072,80,-306535,-0.99
23027,Horse Feathers,1932,8,"['Comedy', 'Musical', 'Romance']",68,Usa,English,['Norman Z. Mcleod'],"['Bert Kalmar', 'Harry Ruby']","['The Marx Brothers', 'Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",Paramount Pictures,7.6,11594,,,83,,
23634,Otona no miru ehon - Umarete wa mita keredo,1932,6,"['Comedy', 'Drama']",100,Japan,Japanese,['Yasujirô Ozu'],"['Akira Fushimi', 'Geibei Ibushiya']","['Tatsuo Saitô', 'Tomio Aoki', 'Mitsuko Yoshikawa', 'Hideo Sugawara', 'Takeshi Sakamoto']",Shochiku,8.0,4781,,,91,,
23825,Bombshell,1933,10,"['Comedy', 'Drama', 'Romance']",96,Usa,English,['Victor Fleming'],"['John Lee Mahin', 'Jules Furthman']","['Jean Harlow', 'Lee Tracy', 'Frank Morgan', 'Franchot Tone', ""Pat O'Brien""]",Metro-Goldwyn-Mayer (Mgm),7.1,2247,344000,,81,,
23969,Duck Soup,1933,11,"['Comedy', 'Musical', 'War']",69,Usa,English,['Leo Mccarey'],"['Bert Kalmar', 'Harry Ruby']","['The Marx Brothers', 'Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",Paramount Pictures,7.8,54717,,103800,93,,
24025,Flying Down to Rio,1933,6,"['Comedy', 'Musical', 'Romance']",89,Usa,English,['Thornton Freeland'],"['Cyril Hume', 'H.W. Hanemann']","['Dolores Del Rio', 'Gene Raymond', 'Raul Roulien', 'Ginger Rogers', 'Fred Astaire']",Rko Radio Pictures,6.6,3275,462000,,72,,
24028,Footlight Parade,1933,7,"['Comedy', 'Musical', 'Romance']",104,Usa,English,['Lloyd Bacon'],"['Manuel Seff', 'James Seymour']","['James Cagney', 'Joan Blondell', 'Ruby Keeler', 'Dick Powell', 'Frank Mchugh']",Warner Bros.,7.6,4716,703000,,80,,
24034,42nd Street,1933,9,"['Comedy', 'Musical', 'Romance']",89,Usa,English,['Lloyd Bacon'],"['Rian James', 'James Seymour']","['Warner Baxter', 'Bebe Daniels', 'George Brent', 'Ruby Keeler', 'Guy Kibbee']",Warner Bros.,7.4,10490,439000,1600,83,-437400,-1.0
